aims_uuid : 4CA28C00-B252-409C-A144-D565F4009B24                                                                                                      
# Complex Kohn-Sham eigenvectors for band number        1, k-point number        1, at relative reciprocal-space coordinates:   0.00000000   0.00000000   0.00000000
#
#      Basis function ID                       State number
#    /                   \    	                         1                             2                             3                             4                             5                             6                             7                             8                             9                             10                            11                            12                            13                            14                            15                            16    
#   /                     \   	                  -1.83342466                   -1.82938952                   -1.75399193                   -1.69191741                   -1.66150226                   -1.63822536                   -1.62332715                   -1.61756012                   -1.60198609                   -0.78156542                   -0.25685949                    0.25746702                    0.28478707                    0.29309129                    1.19750350                    1.23713512  
#  /                       \  	                   1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    0.99984104                    0.00011965                    0.00002456                    0.00001475                    0.00000000                    0.00000000  
# No.  atom   type    n l   m 	    Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]  
   12     1 hydro     2 p  -1 	     0.00031691    0.00000000     -0.00219616    0.00000000     -0.00156202    0.00000000      0.00000310    0.00000000      0.00073416    0.00000000     -0.00003080    0.00000000     -0.00005088    0.00000000      0.00016621    0.00000000     -0.00029258    0.00000000      0.00011600    0.00000000      0.00010862    0.00000000      0.00019711    0.00000000      0.00011628    0.00000000     -0.00017905    0.00000000     -0.00168011    0.00000000     -0.00053254    0.00000000  
   13     1 hydro     2 p   0 	    -0.00420974    0.00000000     -0.00068620    0.00000000     -0.00053769    0.00000000     -0.00242687    0.00000000      0.00022762    0.00000000     -0.00004234    0.00000000      0.00024001    0.00000000      0.00337862    0.00000000      0.00464772    0.00000000     -0.00007912    0.00000000     -0.00063089    0.00000000      0.00861779    0.00000000     -0.00105411    0.00000000      0.00675449    0.00000000     -0.00003149    0.00000000     -0.00029009    0.00000000  
   14     1 hydro     2 p   1 	     0.00016716    0.00000000      0.00030754    0.00000000      0.00064844    0.00000000      0.00034682    0.00000000      0.00223545    0.00000000      0.00016294    0.00000000     -0.00004603    0.00000000      0.00052436    0.00000000     -0.00008119    0.00000000      0.00004114    0.00000000      0.00029875    0.00000000      0.00011457    0.00000000     -0.00059555    0.00000000      0.00011150    0.00000000     -0.00037269    0.00000000      0.00171904    0.00000000  
   15     1 atomic    3 d  -2 	     0.00269636    0.00000000      0.00089880    0.00000000      0.00081755    0.00000000     -0.00129853    0.00000000     -0.00038792    0.00000000      0.00465687    0.00000000      0.00033859    0.00000000      0.00450145    0.00000000      0.00622826    0.00000000     -0.00223515    0.00000000     -0.00008786    0.00000000     -0.00416651    0.00000000     -0.00055636    0.00000000      0.00810690    0.00000000     -0.00292101    0.00000000     -0.00469324    0.00000000  
   16     1 atomic    3 d  -1 	    -0.00421521    0.00000000      0.03816305    0.00000000      0.00089724    0.00000000     -0.00146353    0.00000000     -0.01253925    0.00000000      0.00070770    0.00000000     -0.00473767    0.00000000     -0.00880015    0.00000000      0.00389008    0.00000000      0.00027821    0.00000000     -0.00216030    0.00000000     -0.00115793    0.00000000     -0.01114795    0.00000000     -0.00136951    0.00000000     -0.10126170    0.00000000     -0.03881416    0.00000000  
   17     1 atomic    3 d   0 	    -0.03427219    0.00000000     -0.00299902    0.00000000     -0.00197260    0.00000000     -0.05877381    0.00000000      0.00843972    0.00000000     -0.05677020    0.00000000      0.00048841    0.00000000      0.01772028    0.00000000      0.03299645    0.00000000     -0.00121082    0.00000000     -0.00149447    0.00000000      0.02120612    0.00000000     -0.00403518    0.00000000      0.02745317    0.00000000     -0.00061430    0.00000000     -0.00132251    0.00000000  
   18     1 atomic    3 d   1 	     0.00182895    0.00000000     -0.01023721    0.00000000     -0.00188443    0.00000000     -0.00322189    0.00000000     -0.03664894    0.00000000     -0.00205799    0.00000000      0.00686417    0.00000000      0.00358408    0.00000000     -0.00142779    0.00000000     -0.00023782    0.00000000     -0.00124723    0.00000000      0.00059152    0.00000000      0.01051688    0.00000000      0.00100839    0.00000000     -0.03736222    0.00000000      0.09956128    0.00000000  
   19     1 atomic    3 d   2 	     0.00464259    0.00000000      0.00080648    0.00000000     -0.00031263    0.00000000      0.00250810    0.00000000     -0.00106839    0.00000000     -0.00364471    0.00000000     -0.00262506    0.00000000      0.00068742    0.00000000     -0.00077385    0.00000000      0.00012298    0.00000000     -0.00006616    0.00000000      0.00067021    0.00000000      0.00052874    0.00000000     -0.00392740    0.00000000      0.00012343    0.00000000      0.00284197    0.00000000  
   20     1 hydro     3 d  -2 	    -0.00058274    0.00000000     -0.00029776    0.00000000     -0.00024404    0.00000000     -0.00024089    0.00000000      0.00011312    0.00000000     -0.00033405    0.00000000      0.00004755    0.00000000     -0.00049938    0.00000000     -0.00078527    0.00000000      0.00032588    0.00000000     -0.00010927    0.00000000      0.00066937    0.00000000      0.00008639    0.00000000     -0.00095514    0.00000000      0.00014209    0.00000000      0.00014598    0.00000000  
   21     1 hydro     3 d  -1 	     0.00073248    0.00000000     -0.00659402    0.00000000     -0.00306119    0.00000000      0.00012677    0.00000000      0.00264304    0.00000000     -0.00009722    0.00000000     -0.00033052    0.00000000      0.00026380    0.00000000     -0.00012201    0.00000000     -0.00001940    0.00000000      0.00106622    0.00000000      0.00044514    0.00000000      0.00310226    0.00000000      0.00024004    0.00000000      0.02575294    0.00000000      0.00954082    0.00000000  
