aims_uuid : 4CA28C00-B252-409C-A144-D565F4009B24                                                                                                      
# Complex Kohn-Sham eigenvectors for band number        1, k-point number        1, at relative reciprocal-space coordinates:   0.00000000   0.00000000   0.00000000
#
#      Basis function ID                       State number
#    /                   \    	                         1                             2                             3                             4                             5                             6                             7                             8                             9                             10                            11                            12                            13                            14                            15                            16    
#   /                     \   	                  -1.83342466                   -1.82938952                   -1.75399193                   -1.69191741                   -1.66150226                   -1.63822536                   -1.62332715                   -1.61756012                   -1.60198609                   -0.78156542                   -0.25685949                    0.25746702                    0.28478707                    0.29309129                    1.19750350                    1.23713512  
#  /                       \  	                   1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    0.99984104                    0.00011965                    0.00002456                    0.00001475                    0.00000000                    0.00000000  
# No.  atom   type    n l   m 	    Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]  
  773    59 atomic    4 f   0 	     0.00000450    0.00000000      0.00000068    0.00000000      0.00000186    0.00000000     -0.00000110    0.00000000     -0.00000275    0.00000000     -0.00000303    0.00000000      0.00000250    0.00000000     -0.00000283    0.00000000     -0.00000529    0.00000000     -0.00000415    0.00000000      0.00000219    0.00000000     -0.00000251    0.00000000      0.00000244    0.00000000      0.00000138    0.00000000      0.00000124    0.00000000     -0.00000494    0.00000000  
  774    59 atomic    4 f   1 	     0.00002007    0.00000000     -0.00001893    0.00000000     -0.00010118    0.00000000      0.00001759    0.00000000     -0.00028785    0.00000000     -0.00016794    0.00000000     -0.00004356    0.00000000      0.00000238    0.00000000     -0.00005753    0.00000000      0.00003960    0.00000000      0.00009163    0.00000000      0.00016017    0.00000000     -0.00011674    0.00000000     -0.00018247    0.00000000      0.00001298    0.00000000      0.00000287    0.00000000  
  775    59 atomic    4 f   2 	    -0.00000219    0.00000000     -0.00000166    0.00000000      0.00000058    0.00000000     -0.00000014    0.00000000      0.00000197    0.00000000     -0.00000015    0.00000000     -0.00000262    0.00000000     -0.00000337    0.00000000      0.00000169    0.00000000      0.00001637    0.00000000      0.00000131    0.00000000     -0.00000181    0.00000000     -0.00000059    0.00000000      0.00000226    0.00000000      0.00000781    0.00000000      0.00002138    0.00000000  
  776    59 atomic    4 f   3 	    -0.00002684    0.00000000     -0.00000588    0.00000000     -0.00020038    0.00000000     -0.00010515    0.00000000     -0.00013096    0.00000000      0.00024536    0.00000000      0.00025001    0.00000000      0.00026442    0.00000000      0.00009315    0.00000000     -0.00002246    0.00000000      0.00003639    0.00000000      0.00006746    0.00000000     -0.00004698    0.00000000     -0.00008296    0.00000000      0.00002451    0.00000000      0.00002203    0.00000000  
  777    59 hydro     4 f  -3 	     0.00339637    0.00000000      0.00236876    0.00000000     -0.00015652    0.00000000      0.00016419    0.00000000      0.00049780    0.00000000      0.00036359    0.00000000     -0.00020400    0.00000000     -0.00017020    0.00000000     -0.00006767    0.00000000     -0.00054611    0.00000000      0.00048852    0.00000000     -0.00097110    0.00000000      0.00159485    0.00000000     -0.00164194    0.00000000     -0.00001857    0.00000000     -0.00058717    0.00000000  
  778    59 hydro     4 f  -2 	    -0.00004798    0.00000000      0.00005358    0.00000000     -0.00000938    0.00000000     -0.00003906    0.00000000     -0.00006459    0.00000000     -0.00001544    0.00000000     -0.00003428    0.00000000     -0.00003868    0.00000000      0.00002238    0.00000000     -0.00009012    0.00000000      0.00001544    0.00000000      0.00003598    0.00000000      0.00000464    0.00000000     -0.00000859    0.00000000      0.00026229    0.00000000      0.00002453    0.00000000  
  779    59 hydro     4 f  -1 	     0.00210596    0.00000000      0.00116071    0.00000000     -0.00213192    0.00000000     -0.00269306    0.00000000      0.00115096    0.00000000     -0.00152443    0.00000000      0.00050363    0.00000000     -0.00088344    0.00000000      0.00038471    0.00000000     -0.00022870    0.00000000     -0.00019846    0.00000000      0.00054881    0.00000000     -0.00083332    0.00000000      0.00094282    0.00000000      0.00004722    0.00000000      0.00013004    0.00000000  
  780    59 hydro     4 f   0 	    -0.00010642    0.00000000      0.00006189    0.00000000     -0.00021450    0.00000000      0.00006003    0.00000000      0.00009110    0.00000000      0.00012562    0.00000000     -0.00003816    0.00000000     -0.00010365    0.00000000     -0.00002702    0.00000000      0.00003231    0.00000000      0.00009973    0.00000000      0.00012117    0.00000000      0.00009944    0.00000000      0.00009253    0.00000000     -0.00016068    0.00000000     -0.00000348    0.00000000  
  781    59 hydro     4 f   1 	    -0.00026905    0.00000000      0.00026048    0.00000000      0.00112923    0.00000000     -0.00020150    0.00000000      0.00321204    0.00000000      0.00191335    0.00000000      0.00047032    0.00000000     -0.00006375    0.00000000      0.00064271    0.00000000     -0.00036948    0.00000000     -0.00103639    0.00000000     -0.00172744    0.00000000      0.00125396    0.00000000      0.00192617    0.00000000     -0.00007913    0.00000000     -0.00000754    0.00000000  
  782    59 hydro     4 f   2 	     0.00005655    0.00000000     -0.00000984    0.00000000     -0.00005873    0.00000000      0.00000330    0.00000000     -0.00001135    0.00000000      0.00000369    0.00000000      0.00002458    0.00000000      0.00002041    0.00000000     -0.00003120    0.00000000     -0.00018092    0.00000000      0.00002048    0.00000000      0.00006397    0.00000000      0.00006475    0.00000000     -0.00000560    0.00000000     -0.00003974    0.00000000     -0.00022088    0.00000000  
  783    59 hydro     4 f   3 	     0.00038021    0.00000000      0.00004203    0.00000000      0.00250982    0.00000000      0.00127169    0.00000000      0.00163664    0.00000000     -0.00310552    0.00000000     -0.00318258    0.00000000     -0.00334360    0.00000000     -0.00117493    0.00000000      0.00030488    0.00000000     -0.00051594    0.00000000     -0.00087134    0.00000000      0.00062757    0.00000000      0.00113779    0.00000000     -0.00035647    0.00000000     -0.00023483    0.00000000  
  784    60 atomic    1 s   0 	     0.00002868    0.00000000      0.00003623    0.00000000     -0.00006735    0.00000000     -0.00002698    0.00000000      0.00003415    0.00000000     -0.00003601    0.00000000     -0.00003273    0.00000000      0.00001031    0.00000000      0.00004182    0.00000000     -0.00000672    0.00000000     -0.00002196    0.00000000      0.00000470    0.00000000     -0.00004935    0.00000000      0.00002676    0.00000000      0.00000261    0.00000000      0.00000166    0.00000000  
  785    60 atomic    2 s   0 	    -0.00019467    0.00000000     -0.00024588    0.00000000      0.00045736    0.00000000      0.00018328    0.00000000     -0.00023196    0.00000000      0.00024455    0.00000000      0.00022229    0.00000000     -0.00007009    0.00000000     -0.00028417    0.00000000      0.00004548    0.00000000      0.00014925    0.00000000     -0.00003195    0.00000000      0.00033538    0.00000000     -0.00018179    0.00000000     -0.00001772    0.00000000     -0.00001132    0.00000000  
  786    60 atomic    3 s   0 	     0.00068661    0.00000000      0.00086731    0.00000000     -0.00161234    0.00000000     -0.00064525    0.00000000      0.00081728    0.00000000     -0.00086229    0.00000000     -0.00078357    0.00000000      0.00024705    0.00000000      0.00100084    0.00000000     -0.00016216    0.00000000     -0.00052278    0.00000000      0.00011227    0.00000000     -0.00117501    0.00000000      0.00063730    0.00000000      0.00006181    0.00000000      0.00003974    0.00000000  
  787    60 atomic    4 s   0 	    -0.00215926    0.00000000     -0.00272202    0.00000000      0.00508571    0.00000000      0.00203464    0.00000000     -0.00257893    0.00000000      0.00271815    0.00000000      0.00247058    0.00000000     -0.00078268    0.00000000     -0.00316065    0.00000000      0.00050825    0.00000000      0.00163057    0.00000000     -0.00035128    0.00000000      0.00366325    0.00000000     -0.00198687    0.00000000     -0.00019058    0.00000000     -0.00012518    0.00000000  
  788    60 atomic    5 s   0 	     0.00772132    0.00000000      0.00967150    0.00000000     -0.01839830    0.00000000     -0.00730591    0.00000000      0.00930420    0.00000000     -0.00981595    0.00000000     -0.00892370    0.00000000      0.00287171    0.00000000      0.01144763    0.00000000     -0.00183486    0.00000000     -0.00547988    0.00000000      0.00120369    0.00000000     -0.01227269    0.00000000      0.00665084    0.00000000      0.00062097    0.00000000      0.00036659    0.00000000  
  789    60 ionic     6 s   0 	     0.06284319    0.00000000      0.07595737    0.00000000     -0.16045985    0.00000000     -0.07125921    0.00000000      0.08641556    0.00000000     -0.08334447    0.00000000     -0.07768849    0.00000000      0.02656256    0.00000000      0.10930970    0.00000000      0.00007179    0.00000000     -0.06964294    0.00000000      0.01286208    0.00000000     -0.15480502    0.00000000      0.08088976    0.00000000      0.00781529    0.00000000      0.00579345    0.00000000  
  790    60 atomic    6 s   0 	     0.00722795    0.00000000      0.00888851    0.00000000     -0.01822085    0.00000000     -0.00900896    0.00000000      0.01083899    0.00000000     -0.00914358    0.00000000     -0.00856377    0.00000000      0.00258570    0.00000000      0.01328459    0.00000000      0.00200575    0.00000000     -0.00912587    0.00000000      0.00148163    0.00000000     -0.02086786    0.00000000      0.01049369    0.00000000      0.00083489    0.00000000      0.00021533    0.00000000  
  791    60 atomic    2 p  -1 	    -0.00001810    0.00000000      0.00000321    0.00000000     -0.00001702    0.00000000      0.00002333    0.00000000     -0.00000076    0.00000000      0.00001408    0.00000000     -0.00001439    0.00000000     -0.00000209    0.00000000     -0.00000050    0.00000000      0.00000329    0.00000000      0.00000549    0.00000000      0.00000926    0.00000000      0.00000321    0.00000000      0.00000898    0.00000000     -0.00000216    0.00000000     -0.00000006    0.00000000  
  792    60 atomic    2 p   0 	    -0.00000018    0.00000000     -0.00000017    0.00000000     -0.00000009    0.00000000      0.00000044    0.00000000     -0.00000093    0.00000000      0.00000023    0.00000000      0.00000021    0.00000000      0.00000051    0.00000000     -0.00000026    0.00000000     -0.00000181    0.00000000     -0.00000050    0.00000000      0.00000076    0.00000000     -0.00000024    0.00000000     -0.00000059    0.00000000     -0.00000114    0.00000000     -0.00000276    0.00000000  
  793    60 atomic    2 p   1 	     0.00000053    0.00000000      0.00000252    0.00000000      0.00001196    0.00000000      0.00000945    0.00000000      0.00002671    0.00000000     -0.00000964    0.00000000     -0.00000567    0.00000000     -0.00000390    0.00000000     -0.00001245    0.00000000     -0.00000100    0.00000000      0.00001800    0.00000000     -0.00002462    0.00000000     -0.00000311    0.00000000      0.00001620    0.00000000     -0.00000287    0.00000000     -0.00000134    0.00000000  
  794    60 atomic    3 p  -1 	     0.00017857    0.00000000     -0.00003173    0.00000000      0.00016814    0.00000000     -0.00023042    0.00000000      0.00000750    0.00000000     -0.00013903    0.00000000      0.00014210    0.00000000      0.00002061    0.00000000      0.00000494    0.00000000     -0.00003252    0.00000000     -0.00005428    0.00000000     -0.00009148    0.00000000     -0.00003166    0.00000000     -0.00008866    0.00000000      0.00002145    0.00000000      0.00000064    0.00000000  
  795    60 atomic    3 p   0 	     0.00000188    0.00000000      0.00000171    0.00000000      0.00000079    0.00000000     -0.00000442    0.00000000      0.00000935    0.00000000     -0.00000231    0.00000000     -0.00000208    0.00000000     -0.00000498    0.00000000      0.00000262    0.00000000      0.00001787    0.00000000      0.00000494    0.00000000     -0.00000748    0.00000000      0.00000227    0.00000000      0.00000584    0.00000000      0.00001100    0.00000000      0.00002720    0.00000000  
  796    60 atomic    3 p   1 	    -0.00000523    0.00000000     -0.00002490    0.00000000     -0.00011816    0.00000000     -0.00009334    0.00000000     -0.00026387    0.00000000      0.00009520    0.00000000      0.00005612    0.00000000      0.00003850    0.00000000      0.00012302    0.00000000      0.00000978    0.00000000     -0.00017762    0.00000000      0.00024320    0.00000000      0.00003069    0.00000000     -0.00015997    0.00000000      0.00002829    0.00000000      0.00001325    0.00000000  
  797    60 atomic    4 p  -1 	    -0.00143032    0.00000000      0.00025442    0.00000000     -0.00134630    0.00000000      0.00184344    0.00000000     -0.00005934    0.00000000      0.00111237    0.00000000     -0.00113587    0.00000000     -0.00016326    0.00000000     -0.00004038    0.00000000      0.00025317    0.00000000      0.00043097    0.00000000      0.00072670    0.00000000      0.00025136    0.00000000      0.00070405    0.00000000     -0.00017331    0.00000000     -0.00000922    0.00000000  
  798    60 atomic    4 p   0 	    -0.00001640    0.00000000     -0.00001330    0.00000000     -0.00000567    0.00000000      0.00003493    0.00000000     -0.00007385    0.00000000      0.00001900    0.00000000      0.00001496    0.00000000      0.00003758    0.00000000     -0.00001907    0.00000000     -0.00013274    0.00000000     -0.00003943    0.00000000      0.00005849    0.00000000     -0.00001804    0.00000000     -0.00004551    0.00000000     -0.00007810    0.00000000     -0.00020445    0.00000000  
  799    60 atomic    4 p   1 	     0.00004023    0.00000000      0.00019845    0.00000000      0.00094646    0.00000000      0.00074616    0.00000000      0.00210925    0.00000000     -0.00076139    0.00000000     -0.00044976    0.00000000     -0.00030949    0.00000000     -0.00098248    0.00000000     -0.00007268    0.00000000      0.00141017    0.00000000     -0.00192991    0.00000000     -0.00024329    0.00000000      0.00126993    0.00000000     -0.00021692    0.00000000     -0.00009649    0.00000000  
  800    60 atomic    5 p  -1 	     0.01631019    0.00000000     -0.00289949    0.00000000      0.01526845    0.00000000     -0.02084159    0.00000000      0.00066718    0.00000000     -0.01258822    0.00000000      0.01281165    0.00000000      0.00177751    0.00000000      0.00049711    0.00000000     -0.00262371    0.00000000     -0.00462960    0.00000000     -0.00781694    0.00000000     -0.00271409    0.00000000     -0.00759116    0.00000000      0.00186398    0.00000000      0.00018596    0.00000000  
  801    60 atomic    5 p   0 	     0.00020805    0.00000000      0.00015188    0.00000000      0.00002836    0.00000000     -0.00037382    0.00000000      0.00077569    0.00000000     -0.00023033    0.00000000     -0.00013755    0.00000000     -0.00037610    0.00000000      0.00016225    0.00000000      0.00119865    0.00000000      0.00041648    0.00000000     -0.00059509    0.00000000      0.00018373    0.00000000      0.00045859    0.00000000      0.00064304    0.00000000      0.00182393    0.00000000  
  802    60 atomic    5 p   1 	    -0.00040916    0.00000000     -0.00221518    0.00000000     -0.01073629    0.00000000     -0.00839251    0.00000000     -0.02380345    0.00000000      0.00859480    0.00000000      0.00510988    0.00000000      0.00349362    0.00000000      0.01102470    0.00000000      0.00067930    0.00000000     -0.01515607    0.00000000      0.02070539    0.00000000      0.00262062    0.00000000     -0.01367168    0.00000000      0.00209487    0.00000000      0.00075599    0.00000000  
  803    60 ionic     6 p  -1 	     0.04589776    0.00000000     -0.00848868    0.00000000      0.04086880    0.00000000     -0.05618028    0.00000000      0.00200925    0.00000000     -0.03401365    0.00000000      0.03387748    0.00000000      0.00486487    0.00000000      0.00204666    0.00000000     -0.00566668    0.00000000     -0.01333691    0.00000000     -0.02205909    0.00000000     -0.00819071    0.00000000     -0.02128595    0.00000000      0.00565272    0.00000000      0.00172472    0.00000000  
  804    60 ionic     6 p   0 	     0.00028677    0.00000000      0.00026492    0.00000000      0.00069768    0.00000000     -0.00041176    0.00000000      0.00103417    0.00000000     -0.00053281    0.00000000      0.00022931    0.00000000     -0.00113688    0.00000000     -0.00077636    0.00000000      0.00159614    0.00000000      0.00179635    0.00000000     -0.00215159    0.00000000      0.00140682    0.00000000      0.00099634    0.00000000      0.00229796    0.00000000      0.00511859    0.00000000  
  805    60 ionic     6 p   1 	    -0.00074371    0.00000000     -0.00552537    0.00000000     -0.02911202    0.00000000     -0.02241623    0.00000000     -0.06331274    0.00000000      0.02332481    0.00000000      0.01347305    0.00000000      0.01014517    0.00000000      0.02939489    0.00000000      0.00188430    0.00000000     -0.04315261    0.00000000      0.05787526    0.00000000      0.00719281    0.00000000     -0.03880310    0.00000000      0.00469031    0.00000000      0.00010002    0.00000000  
  806    60 atomic    3 d  -2 	     0.00000004    0.00000000      0.00000014    0.00000000     -0.00000018    0.00000000     -0.00000258    0.00000000     -0.00000061    0.00000000      0.00000170    0.00000000     -0.00000254    0.00000000      0.00000165    0.00000000     -0.00000204    0.00000000      0.00000007    0.00000000     -0.00000906    0.00000000     -0.00000347    0.00000000      0.00000737    0.00000000      0.00000649    0.00000000      0.00000056    0.00000000      0.00000077    0.00000000  
  807    60 atomic    3 d  -1 	     0.00000010    0.00000000     -0.00000009    0.00000000      0.00000004    0.00000000      0.00000003    0.00000000     -0.00000000    0.00000000      0.00000009    0.00000000      0.00000020    0.00000000      0.00000024    0.00000000     -0.00000010    0.00000000     -0.00000096    0.00000000      0.00000005    0.00000000      0.00000024    0.00000000      0.00000010    0.00000000      0.00000006    0.00000000     -0.00000098    0.00000000     -0.00000054    0.00000000  
  808    60 atomic    3 d   0 	    -0.00000220    0.00000000     -0.00000253    0.00000000      0.00000576    0.00000000      0.00000252    0.00000000     -0.00000347    0.00000000      0.00000326    0.00000000      0.00000302    0.00000000     -0.00000081    0.00000000     -0.00000408    0.00000000     -0.00000102    0.00000000      0.00000134    0.00000000      0.00000007    0.00000000      0.00000329    0.00000000     -0.00000207    0.00000000     -0.00000089    0.00000000     -0.00000195    0.00000000  
  809    60 atomic    3 d   1 	    -0.00000001    0.00000000     -0.00000024    0.00000000      0.00000011    0.00000000      0.00000022    0.00000000     -0.00000037    0.00000000      0.00000015    0.00000000      0.00000015    0.00000000      0.00000014    0.00000000     -0.00000023    0.00000000     -0.00000084    0.00000000      0.00000004    0.00000000      0.00000024    0.00000000      0.00000011    0.00000000     -0.00000017    0.00000000     -0.00000043    0.00000000     -0.00000120    0.00000000  
  810    60 atomic    3 d   2 	     0.00000090    0.00000000      0.00000210    0.00000000     -0.00000028    0.00000000      0.00000030    0.00000000      0.00000027    0.00000000      0.00000005    0.00000000     -0.00000010    0.00000000     -0.00000048    0.00000000     -0.00000032    0.00000000     -0.00000109    0.00000000      0.00000303    0.00000000     -0.00000052    0.00000000      0.00000645    0.00000000     -0.00000335    0.00000000     -0.00000018    0.00000000     -0.00000038    0.00000000  
  811    60 atomic    4 d  -2 	     0.00001206    0.00000000     -0.00002390    0.00000000      0.00001956    0.00000000      0.00020139    0.00000000     -0.00001336    0.00000000     -0.00019180    0.00000000      0.00014868    0.00000000     -0.00017209    0.00000000      0.00020107    0.00000000      0.00001068    0.00000000      0.00044106    0.00000000      0.00016949    0.00000000     -0.00035925    0.00000000     -0.00031311    0.00000000     -0.00001805    0.00000000     -0.00002258    0.00000000  
  812    60 atomic    4 d  -1 	    -0.00000606    0.00000000      0.00000365    0.00000000      0.00000068    0.00000000     -0.00000144    0.00000000     -0.00000170    0.00000000     -0.00000370    0.00000000     -0.00000690    0.00000000     -0.00000856    0.00000000      0.00000391    0.00000000      0.00003290    0.00000000     -0.00000278    0.00000000     -0.00000951    0.00000000     -0.00000472    0.00000000     -0.00000413    0.00000000      0.00002665    0.00000000      0.00001443    0.00000000  
  813    60 atomic    4 d   0 	     0.00007187    0.00000000      0.00007224    0.00000000     -0.00018406    0.00000000     -0.00008981    0.00000000      0.00013299    0.00000000     -0.00010483    0.00000000     -0.00009956    0.00000000      0.00002452    0.00000000      0.00013840    0.00000000      0.00005796    0.00000000     -0.00001297    0.00000000     -0.00001242    0.00000000     -0.00004351    0.00000000      0.00004040    0.00000000      0.00002684    0.00000000      0.00008303    0.00000000  
  814    60 atomic    4 d   1 	     0.00000415    0.00000000      0.00001087    0.00000000     -0.00000629    0.00000000     -0.00000959    0.00000000      0.00002221    0.00000000     -0.00000574    0.00000000     -0.00000630    0.00000000      0.00000018    0.00000000      0.00001266    0.00000000      0.00002996    0.00000000     -0.00000214    0.00000000     -0.00000704    0.00000000     -0.00000566    0.00000000      0.00000830    0.00000000      0.00000101    0.00000000      0.00004697    0.00000000  
  815    60 atomic    4 d   2 	    -0.00012385    0.00000000     -0.00027115    0.00000000      0.00010355    0.00000000      0.00002043    0.00000000     -0.00002560    0.00000000     -0.00002903    0.00000000     -0.00002563    0.00000000      0.00010636    0.00000000      0.00007037    0.00000000      0.00004905    0.00000000     -0.00014757    0.00000000      0.00002380    0.00000000     -0.00031278    0.00000000      0.00016203    0.00000000      0.00000564    0.00000000      0.00001437    0.00000000  
  816    60 atomic    5 d  -2 	    -0.00908978    0.00000000      0.01468439    0.00000000     -0.01014048    0.00000000     -0.09240853    0.00000000      0.02157772    0.00000000      0.10182996    0.00000000     -0.05611788    0.00000000      0.08824253    0.00000000     -0.10208277    0.00000000     -0.00657578    0.00000000     -0.13171548    0.00000000     -0.05133873    0.00000000      0.10736303    0.00000000      0.09235031    0.00000000      0.00323300    0.00000000      0.00284563    0.00000000  
  817    60 atomic    5 d  -1 	     0.00246519    0.00000000     -0.00132789    0.00000000     -0.00069101    0.00000000      0.00064594    0.00000000      0.00066675    0.00000000      0.00124090    0.00000000      0.00189752    0.00000000      0.00240730    0.00000000     -0.00135707    0.00000000     -0.00791833    0.00000000      0.00081378    0.00000000      0.00240483    0.00000000      0.00143988    0.00000000      0.00143003    0.00000000     -0.00310975    0.00000000     -0.00179593    0.00000000  
  818    60 atomic    5 d   0 	    -0.01319077    0.00000000     -0.00949632    0.00000000      0.03190297    0.00000000      0.01968084    0.00000000     -0.03214371    0.00000000      0.01806615    0.00000000      0.01877306    0.00000000     -0.00326185    0.00000000     -0.02680731    0.00000000     -0.02004246    0.00000000     -0.00873919    0.00000000      0.00604304    0.00000000     -0.01639198    0.00000000      0.00359858    0.00000000     -0.00431468    0.00000000     -0.01677389    0.00000000  
  819    60 atomic    5 d   1 	    -0.00212224    0.00000000     -0.00364809    0.00000000      0.00252991    0.00000000      0.00251677    0.00000000     -0.00844818    0.00000000      0.00174625    0.00000000      0.00244780    0.00000000     -0.00133422    0.00000000     -0.00466080    0.00000000     -0.00815273    0.00000000      0.00085851    0.00000000      0.00131266    0.00000000      0.00187469    0.00000000     -0.00195461    0.00000000      0.00244727    0.00000000     -0.00831038    0.00000000  
  820    60 atomic    5 d   2 	     0.07019301    0.00000000      0.15115675    0.00000000     -0.06703701    0.00000000     -0.01953536    0.00000000      0.01240684    0.00000000      0.01992023    0.00000000      0.02000755    0.00000000     -0.06490548    0.00000000     -0.04368121    0.00000000     -0.01460076    0.00000000      0.04426500    0.00000000     -0.00673628    0.00000000      0.09374438    0.00000000     -0.04806995    0.00000000     -0.00153542    0.00000000     -0.00241277    0.00000000  
  821    60 hydro     3 d  -2 	     0.00098571    0.00000000     -0.00112357    0.00000000      0.00150699    0.00000000      0.00749760    0.00000000     -0.00272582    0.00000000     -0.00947888    0.00000000      0.00350936    0.00000000     -0.00922279    0.00000000      0.00878677    0.00000000      0.00077997    0.00000000      0.01575819    0.00000000      0.00638190    0.00000000     -0.01308484    0.00000000     -0.01147559    0.00000000     -0.00070751    0.00000000      0.00031796    0.00000000  
  822    60 hydro     3 d  -1 	     0.00012757    0.00000000     -0.00000873    0.00000000      0.00040214    0.00000000     -0.00040519    0.00000000     -0.00002659    0.00000000     -0.00022202    0.00000000      0.00021066    0.00000000     -0.00003483    0.00000000      0.00008120    0.00000000      0.00044546    0.00000000     -0.00020250    0.00000000     -0.00067099    0.00000000     -0.00032708    0.00000000     -0.00051341    0.00000000      0.00027067    0.00000000      0.00028464    0.00000000  
  823    60 hydro     3 d   0 	    -0.00231386    0.00000000     -0.00313759    0.00000000      0.00593940    0.00000000      0.00203024    0.00000000     -0.00233960    0.00000000      0.00304483    0.00000000      0.00277066    0.00000000     -0.00111809    0.00000000     -0.00342988    0.00000000      0.00192208    0.00000000      0.00419694    0.00000000     -0.00126624    0.00000000      0.00933311    0.00000000     -0.00474724    0.00000000     -0.00010124    0.00000000      0.00143140    0.00000000  
  824    60 hydro     3 d   1 	     0.00021679    0.00000000     -0.00002838    0.00000000     -0.00041809    0.00000000     -0.00011562    0.00000000     -0.00014328    0.00000000      0.00007500    0.00000000     -0.00024076    0.00000000      0.00041226    0.00000000      0.00071296    0.00000000      0.00060730    0.00000000     -0.00064487    0.00000000      0.00054265    0.00000000     -0.00067965    0.00000000      0.00012645    0.00000000     -0.00114844    0.00000000      0.00091658    0.00000000  
  825    60 hydro     3 d   2 	    -0.00605172    0.00000000     -0.01289603    0.00000000      0.00730504    0.00000000      0.00242165    0.00000000     -0.00149360    0.00000000     -0.00183417    0.00000000     -0.00233281    0.00000000      0.00715490    0.00000000      0.00422270    0.00000000      0.00129426    0.00000000     -0.00558057    0.00000000      0.00048111    0.00000000     -0.01120098    0.00000000      0.00596423    0.00000000      0.00036877    0.00000000      0.00065726    0.00000000  
  826    60 atomic    4 f  -3 	     0.00036810    0.00000000     -0.00017869    0.00000000      0.00001471    0.00000000      0.00001258    0.00000000     -0.00003067    0.00000000      0.00005672    0.00000000      0.00001214    0.00000000      0.00003945    0.00000000     -0.00001624    0.00000000     -0.00005925    0.00000000      0.00010821    0.00000000      0.00020738    0.00000000      0.00006885    0.00000000      0.00019137    0.00000000     -0.00000801    0.00000000     -0.00001503    0.00000000  
  827    60 atomic    4 f  -2 	    -0.00000822    0.00000000      0.00000123    0.00000000     -0.00000162    0.00000000      0.00000294    0.00000000     -0.00000764    0.00000000     -0.00000454    0.00000000     -0.00001202    0.00000000     -0.00001397    0.00000000     -0.00000050    0.00000000      0.00001527    0.00000000     -0.00000074    0.00000000     -0.00000203    0.00000000      0.00000187    0.00000000     -0.00000009    0.00000000      0.00003054    0.00000000      0.00001061    0.00000000  
  828    60 atomic    4 f  -1 	     0.00018212    0.00000000     -0.00002798    0.00000000      0.00017938    0.00000000     -0.00024047    0.00000000      0.00001252    0.00000000     -0.00014535    0.00000000      0.00014816    0.00000000      0.00002086    0.00000000      0.00000765    0.00000000     -0.00003329    0.00000000     -0.00004348    0.00000000     -0.00007357    0.00000000     -0.00002651    0.00000000     -0.00007300    0.00000000     -0.00000587    0.00000000     -0.00000465    0.00000000  
  829    60 atomic    4 f   0 	     0.00000028    0.00000000     -0.00000402    0.00000000     -0.00000065    0.00000000      0.00000474    0.00000000     -0.00001313    0.00000000     -0.00000192    0.00000000      0.00000494    0.00000000      0.00000026    0.00000000     -0.00001185    0.00000000     -0.00002684    0.00000000      0.00000034    0.00000000      0.00000121    0.00000000      0.00000254    0.00000000     -0.00000338    0.00000000     -0.00001091    0.00000000     -0.00003634    0.00000000  
  830    60 atomic    4 f   1 	    -0.00000828    0.00000000     -0.00002962    0.00000000     -0.00012283    0.00000000     -0.00008062    0.00000000     -0.00029038    0.00000000      0.00010188    0.00000000      0.00006345    0.00000000      0.00004378    0.00000000      0.00011597    0.00000000     -0.00002712    0.00000000     -0.00015041    0.00000000      0.00020803    0.00000000      0.00002873    0.00000000     -0.00014585    0.00000000      0.00001291    0.00000000     -0.00002805    0.00000000  
  831    60 atomic    4 f   2 	    -0.00000127    0.00000000      0.00000018    0.00000000      0.00000021    0.00000000      0.00000203    0.00000000     -0.00000383    0.00000000      0.00000426    0.00000000      0.00000255    0.00000000     -0.00000012    0.00000000     -0.00000212    0.00000000      0.00000528    0.00000000     -0.00000087    0.00000000      0.00000071    0.00000000      0.00000270    0.00000000     -0.00000262    0.00000000      0.00000055    0.00000000      0.00000370    0.00000000  
  832    60 atomic    4 f   3 	     0.00002592    0.00000000      0.00000806    0.00000000     -0.00015701    0.00000000      0.00011064    0.00000000     -0.00016905    0.00000000     -0.00029313    0.00000000      0.00004048    0.00000000      0.00019744    0.00000000     -0.00026598    0.00000000      0.00003578    0.00000000     -0.00006560    0.00000000      0.00008066    0.00000000      0.00000996    0.00000000     -0.00004958    0.00000000     -0.00002947    0.00000000      0.00000316    0.00000000  
